REF_AREA_LABEL,short_indicator,year,value,indicator_label
Indonesia,deposit_accounts_per_1000_adults,2017,1527.930171504981,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2018,1554.772103408208,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2019,1602.278742690658,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2020,1851.801772867672,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2021,2097.242697564238,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2022,1847.025096909791,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2023,2002.771802898834,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2024,2171.520997309907,"Deposit accounts per 1,000 adults"
"Korea, Rep.",atm_per_100k_adults,2017,271.9355899519652,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2018,266.2797560670538,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2019,263.3225200656824,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2020,258.1917258884229,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2021,256.8552327448044,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2022,252.6339539754512,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2023,244.4692927697455,"ATMs per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2017,15.3995066248767,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2018,15.2351489722182,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2019,15.02406364486254,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2020,14.285571292025,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2021,13.5740244244837,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2022,12.89363376941866,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2023,12.70001381427875,"Bank branches per 100,000 adults"
"Korea, Rep.",bank_branches_per_100k_adults,2024,12.39360106450143,"Bank branches per 100,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2017,2226.258325470184,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2018,2333.309703306356,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2019,2447.60787882012,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2020,2496.44089961695,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2021,2577.465893018817,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2022,2712.687720122423,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2023,2819.372657980179,"Credit cards per 1,000 adults"
"Korea, Rep.",credit_cards_per_1000_adults,2024,2882.614189013825,"Credit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2017,756.9931890310031,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2018,734.2853213825804,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2019,718.9583480552395,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2020,711.0298483270955,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2021,658.0489059091027,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2022,653.0269410970222,"Debit cards per 1,000 adults"
"Korea, Rep.",debit_cards_per_1000_adults,2023,652.8549943830621,"Debit cards per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2017,5464.810381487859,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2018,5746.405037850684,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2019,6079.606893566198,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2020,6359.164549586561,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2021,6686.247310052356,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2022,7180.128651463102,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2023,7340.87731964764,"Deposit accounts per 1,000 adults"
"Korea, Rep.",deposit_accounts_per_1000_adults,2024,7547.197451585227,"Deposit accounts per 1,000 adults"
Thailand,atm_per_100k_adults,2017,114.5399193106933,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2018,114.0967600440268,"ATMs per 100,000 adults"
Thailand,atm_per_100k_adults,2019,111.6742369418617,"ATMs per 100,000 adults"
