REF_AREA,REF_AREA_LABEL,math_gpi,math_test_language_pi,math_wpi,edu_year,account_ownership,digital_payment,financial_institution_account,formal_borrowing,formal_saving,owns_credit_card,used_debit_card,findex_year,atm_per_100k_adults,bank_branches_per_100k_adults,credit_cards_per_1000_adults,fas_year,math_gpi_score,math_wpi_score,math_test_language_pi_score,account_ownership_score,financial_institution_account_score,digital_payment_score,used_debit_card_score,owns_credit_card_score,formal_saving_score,formal_borrowing_score,atm_per_100k_adults_score,bank_branches_per_100k_adults_score,credit_cards_per_1000_adults_score,education_equity_score,formal_financial_participation_score,financial_access_infrastructure_score,financial_usage_score,financial_access_score,financial_inclusion_ecosystem_score,overall_readiness_score,rank
HKG,"Hong Kong SAR, China",1.03055,0.92475,0.89207,2018,95.2832588698892,84.51143518518491,95.2832588698892,62.0599459834868,50.9185696303766,65.42089234287431,82.8779065257002,2017,51.59635323045526,21.10897863045979,2953.132452543116,2018,96.945,89.20700000000001,92.475,95.2832588698892,95.2832588698892,84.51143518518491,82.8779065257002,65.42089234287431,50.9185696303766,62.0599459834868,0.0,100.0,100.0,92.87566666666665,76.62218105820018,66.66666666666667,76.62218105820018,66.66666666666667,78.72150479717783,78.72150479717783,1
KOR,"Korea, Rep.",1.01392,0.79248,0.79945,2018,94.8510126919781,92.3621457879575,94.8510126919781,63.15829582875801,55.3060423941886,63.6612957762266,75.28322558488951,2017,266.2797560670538,15.2351489722182,2333.309703306356,2018,98.608,79.945,79.24799999999999,94.8510126919781,94.8510126919781,92.3621457879575,75.28322558488951,63.6612957762266,55.3060423941886,63.15829582875801,100.0,39.74563411165669,78.37522155998872,85.93366666666667,77.06757582228235,72.70695189054847,77.06757582228235,72.70695189054847,78.56939812649915,78.56939812649915,2
THA,Thailand,1.15674,0.59041,0.53983,2018,81.5940008546208,62.2738690387923,80.9575031482027,20.4005783621598,38.8010218647546,9.79982303666439,59.8461382775675,2017,114.0967600440268,11.36059015828448,377.393727793715,2018,84.326,53.983000000000004,59.041,81.5940008546208,80.9575031482027,62.2738690387923,59.8461382775675,9.79982303666439,38.8010218647546,20.4005783621598,29.112826603154936,0.0,10.135955302300834,65.78333333333333,50.52470494039459,13.082927301818591,50.52470494039459,13.082927301818591,43.13032185851551,43.13032185851551,3
IDN,Indonesia,1.13171,0.97761,0.36992,2018,48.8574509277817,34.6082624327725,48.3920588500862,18.4441754636393,21.534392086218503,2.43947272540105,30.811099665781494,2017,53.75686250971738,15.95291630815684,86.87071970643576,2018,86.82900000000001,36.992000000000004,97.761,48.8574509277817,48.3920588500862,34.6082624327725,30.811099665781494,2.43947272540105,21.534392086218503,18.4441754636393,1.0063699618673108,47.10856735941712,0.0,73.86066666666666,29.298130307382966,16.038312440428147,29.298130307382966,16.038312440428147,39.73236980482592,39.73236980482592,4
